VARIABLE,ESPECIFICACIÓN,ESPEC_en,VALORES,CODE,VALUE,VALUE_en
ID_HOGAR,Identificador del hogar,Home ID,,,,
CODMUNI,Código de municipio,Municipality code,,,,
NOMMUNI,Nombre de municipio,Municipality name,,,,
CODPROV,Código de provincia,Province code,,,,
NOMPROV,Nombre de provincia,Province name,,,,
ZT1259,Zona 1259,1259 area,,,,
CZ208,Zona 208,zone 208,,,,
ELE_HOGAR_NUEVO,Elevador del hogar,Lift home,,,,
TIPO_ENCUESTA,Tipo de encuesta,Type of survey,,,,
A1PER,¿Podría decirme cuántas personas viven con usted en el hogar incluyéndose usted mismo?,Could you tell me how many people live with you at home including yourself?,,,,
A2PER4,¿Podría decirme cuántas personas tienen 4 o más años?,Could you tell me how many people have 4 or more years?,,,,
B1NVE,Nº total de vehículos en el hogar,Total number of vehicles in the household,,,,
V1B11TIPO,Vehículo 1. B.1.1. Tipo,1. Vehicle B.1.1. Type,1.       Turismo,1,       Turismo,tourism
V1B11TIPO,Vehículo 1. B.1.1. Tipo,1. Vehicle B.1.1. Type,2.       Moto/Ciclomotor,2,       Moto/Ciclomotor,Scooter / Moped
V1B11TIPO,Vehículo 1. B.1.1. Tipo,1. Vehicle B.1.1. Type,3.       Furgoneta,3,       Furgoneta,Van
V1B11TIPO,Vehículo 1. B.1.1. Tipo,1. Vehicle B.1.1. Type,4.       Camión,4,       Camión,Truck
V1B11TIPO,Vehículo 1. B.1.1. Tipo,1. Vehicle B.1.1. Type,5.     Otro,5,Otro,Other
V1B12CARB,Vehículo 1. B.1.1. Carburante,1. Vehicle B.1.1. Fuel,1.       Híbrido,1,       Híbrido,Hybrid
V1B12CARB,Vehículo 1. B.1.1. Carburante,1. Vehicle B.1.1. Fuel,2.       Eléctrico,2,       Eléctrico,Electric
V1B12CARB,Vehículo 1. B.1.1. Carburante,1. Vehicle B.1.1. Fuel,"3.       Otro (gasolina, diesel, etc.)",3,"       Otro (gasolina, diesel, etc.)","Other (gasoline, diesel, etc.)"
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,"1.     En la calle, libre no regulado",1,"     En la calle, libre no regulado","On the street, free unregulated"
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,"2.     En la calle, libre regulado (SER, ORA, zona azul, zona verde)",2,"     En la calle, libre regulado (SER, ORA, zona azul, zona verde)","On the street, free regulated (SER, ORA, blue, green area)"
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,3.     Aparcamiento propio,3,     Aparcamiento propio,own parking
